,sales,of,the,company,to,return,normalcy,.
sales of,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of the,0.0,0.0,0.0,0.06367041198501873,0.0,0.0,0.0,0.0
the company,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.08695652173913043
company to,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
to return,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
return to,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0
to normalcy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
normalcy .,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
