,sales,of,the,company,to,return,normalcy,.
sales of,0.00048034894540255964,0.02661698273936536,0.043273414330484705,0.0003229359278394381,0.018479306487839645,0.0003390698438135715,5.651164063559525e-05,0.028255820317797622
of the,0.0004782384554563482,0.026500036767051764,0.04453243970514113,0.003261460409494474,0.01839811469814422,0.0003375800862044811,5.626334770074684e-05,0.028131673850373424
the company,0.0004987059524583731,0.02763417689504632,0.04643832486715321,0.004341675350814072,0.00037425149700598805,0.00035202773114708687,5.8671288524514476e-05,0.0016841317365269462
company to,0.0004924645290522724,0.027288328609837684,0.014732658372917684,0.0042873382529256664,0.01894540011765801,0.00038066235249333843,0.0003386818016762686,0.0289685017089572
to return,0.0005004531521938104,0.02773099231568055,0.04660101999545893,0.004356886266157879,0.00038066235249333843,0.00035326104860739557,5.887684143456592e-05,0.00038001102907652475
return to,0.0004924646004122774,0.027288332564021488,0.0005707762557077625,0.004287338874177474,0.01894540286291938,0.0005080227761288471,0.000380517503805175,0.02896850590660455
to normalcy,0.0004914548993027537,0.02723238324371729,0.04576312385860347,0.004278548535106326,0.01890655906729417,0.0003469093406842967,5.7818223447382777e-05,0.0003807348181991243
normalcy .,0.00047780884918337046,0.026476231525337353,0.04449243577983973,0.004159747628184637,0.018381587492113192,0.00033727683471767325,5.621280578627888e-05,0.028106402893139436
