,sales,of,the,company,to,return,normalcy,.
sales of,0,0,0,0,0,0,0,0
of the,0,0,0,17,0,0,0,0
the company,0,0,0,0,1,0,0,8
company to,0,0,0,0,0,1,0,0
to return,0,0,0,0,1,0,0,0
return to,0,0,2,0,0,0,1,0
to normalcy,0,0,0,0,0,0,0,1
normalcy .,0,0,0,0,0,0,0,0
