,sales,of,the,company,to,return,normalcy,.
sales of,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243
of the,0.09675665881500271,0.09675665881500271,0.09675665881500271,0.9191882587425259,0.09675665881500271,0.09675665881500271,0.09675665881500271,0.09675665881500271
the company,0.0344311377245509,0.0344311377245509,0.0344311377245509,0.0344311377245509,0.051646706586826345,0.0344311377245509,0.0344311377245509,0.1721556886227545
company to,0.0007613247049866769,0.0007613247049866769,0.0007613247049866769,0.0007613247049866769,0.0007613247049866769,0.0011419870574800152,0.0007613247049866769,0.0007613247049866769
to return,0.0007613247049866769,0.0007613247049866769,0.0007613247049866769,0.0007613247049866769,0.0011419870574800152,0.0007613247049866769,0.0007613247049866769,0.0007613247049866769
return to,0.0015220700152207,0.0015220700152207,0.0030441400304414,0.0015220700152207,0.0015220700152207,0.0015220700152207,0.00228310502283105,0.0015220700152207
to normalcy,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0005711022272986865
normalcy .,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243,0.0003807348181991243
