Training loss,Validation loss,F1 Score,Agree true,Agree total,Disagree true,Disagree total,No stance true,No stance total,Not relevant true,Not relevant total
1.161908617,1.045132213,0.47441315,148,182,0,106,0,77,190,235
0.927422084,0.916518649,0.638256275,140,182,53,106,22,77,172,235
0.696053351,1.140643782,0.650131668,110,182,61,106,27,77,197,235
0.526642277,1.395645371,0.627834231,108,182,67,106,30,77,170,235
0.36343985,1.639307924,0.657634327,121,182,58,106,30,77,186,235
0.269650265,1.920747054,0.611528255,82,182,58,106,32,77,202,235
0.217979073,1.98497212,0.641446232,92,182,72,106,35,77,187,235
0.166326363,2.011441376,0.644901108,98,182,67,106,31,77,193,235
0.143789524,2.153094237,0.649277932,108,182,68,106,34,77,177,235
0.123580546,2.224434948,0.635958721,95,182,65,106,31,77,195,235
0.107678441,2.240122473,0.648106951,106,182,63,106,32,77,188,235
0.080723469,2.359047828,0.646005073,94,182,77,106,34,77,184,235
0.074998996,2.322319999,0.643639251,103,182,59,106,31,77,198,235
0.044494537,2.480942357,0.651966433,95,182,74,106,32,77,195,235
0.042365319,2.454354181,0.650438939,106,182,63,106,32,77,191,235
