Training loss,Validation loss,F1 Score,Agree true,Agree total,Disagree true,Disagree total,No stance true,No stance total,Not relevant true,Not relevant total
1.178508349,1.055511123,0.470411744,156,182,0,106,0,77,179,235
1.000669059,0.991061977,0.591816899,148,182,42,106,4,77,183,235
0.793841527,1.140485403,0.574913707,71,182,68,106,20,77,199,235
0.596893477,1.308904111,0.647068927,141,182,60,106,20,77,170,235
0.487307176,1.519408811,0.647378622,124,182,62,106,21,77,186,235
0.367924264,1.888785392,0.627531879,101,182,55,106,28,77,198,235
0.291558547,2.004314373,0.640840686,98,182,69,106,37,77,177,235
0.239090626,2.179363772,0.635317634,91,182,64,106,40,77,178,235
0.20009506,2.242612656,0.645068893,118,182,67,106,30,77,169,235
0.173356881,2.390097133,0.639671639,105,182,55,106,32,77,193,235
0.159924373,2.316899953,0.662249249,119,182,66,106,28,77,185,235
0.141392191,2.578633183,0.637922851,93,182,64,106,35,77,189,235
0.130849305,2.521497074,0.649864867,93,182,71,106,36,77,189,235
0.110510123,2.547612797,0.647404311,101,182,63,106,29,77,198,235
0.108356157,2.673407012,0.653395303,104,182,68,106,37,77,178,235
